Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate
Tennessee,US,2020-11-27 05:30:26,35.7478,-86.6923,352376,4519,312885.0,34972.0,47.0,5159.862671532458,4391717.0,,1.2824369423570277,84000047.0,USA,64308.17255498249,
Texas,US,2020-11-27 05:30:26,31.0545,-97.5635,1202804,21639,943457.0,237708.0,48.0,4148.189185905405,10386194.0,,1.7990462286457312,84000048.0,USA,35819.549680176984,
Utah,US,2020-11-27 05:30:26,40.15,-111.8624,183902,834,120890.0,62178.0,49.0,5736.257305928524,1765766.0,,0.4535024088916923,84000049.0,USA,55077.63981936133,
Vermont,US,2020-11-27 05:30:26,44.0459,-72.7107,3827,64,2374.0,1389.0,50.0,613.3120936426764,533135.0,,1.6723281944081525,84000050.0,USA,85439.80743250281,
Virginia,US,2020-11-27 05:30:26,37.7693,-78.17,228900,4029,23749.0,201122.0,51.0,2681.7349946734353,3236893.0,,1.7601572739187419,84000051.0,USA,37922.62661473778,
Washington,US,2020-11-27 05:30:26,47.4009,-121.4905,153906,2704,,151202.0,53.0,2021.1183532060136,2894367.0,,1.7569165594583709,84000053.0,USA,38009.29310497206,
West Virginia,US,2020-11-27 05:30:26,38.4912,-80.9545,44180,712,28718.0,14750.0,54.0,2465.19956231269,1085099.0,,1.6115889542779538,84000054.0,USA,60547.432771976855,
Wisconsin,US,2020-11-27 05:30:26,44.2685,-89.6165,398104,3415,296577.0,98112.0,55.0,6837.4154176758375,4318215.0,,0.8578160480678416,84000055.0,USA,74165.11720012627,
Wyoming,US,2020-11-27 05:30:26,42.756,-107.3025,30761,215,20113.0,10433.0,56.0,5314.992941794426,385040.0,,0.6989369656383082,84000056.0,USA,66528.55506350657,
Alabama,US,2020-12-01 05:30:26,32.3182,-86.9023,249524,3578,161946.0,84000.0,1.0,5089.0186684777345,1584347.0,,1.4339302031067152,84000001.0,USA,32312.609049016093,
Alaska,US,2020-12-01 05:30:26,61.3707,-152.4044,32576,121,7165.0,25290.0,2.0,4453.0411662987235,1011396.0,,0.37143909626719057,84000002.0,USA,138254.7895208087,
Arizona,US,2020-12-01 05:30:26,33.7298,-111.4312,326817,6639,52438.0,267740.0,4.0,4490.035812630164,2253689.0,,2.0314120746472795,84000004.0,USA,30962.723238175084,
Arkansas,US,2020-12-01 05:30:26,34.9697,-92.3731,157359,2502,138696.0,16161.0,5.0,5214.354543900135,1683457.0,,1.58999485253465,84000005.0,USA,55784.172862120926,
California,US,2020-12-01 05:30:26,36.1162,-119.6816,1230264,19173,,1211091.0,6.0,3113.628914272933,24025171.0,,1.5584459920797489,84000006.0,USA,60804.402222573,
Colorado,US,2020-12-01 05:30:26,39.0598,-105.3111,232905,3037,12538.0,217330.0,8.0,4044.3770994190386,3218851.0,,1.3039651359996565,84000008.0,USA,55895.095729340595,
Connecticut,US,2020-12-01 05:30:26,41.5978,-72.7554,117295,5020,9800.0,102475.0,9.0,3289.9174736844466,3261454.0,,4.27980732341532,84000009.0,USA,91478.02126448727,
Delaware,US,2020-12-01 05:30:26,39.3185,-75.5071,35654,772,17463.0,17419.0,10.0,3661.4621201851783,740434.0,,2.1652549503562013,84000010.0,USA,76038.34193911463,
Florida,US,2020-12-01 05:30:26,27.7663,-81.6868,999319,18597,,980722.0,12.0,4652.813282889161,12427765.0,,1.8609673187440647,84000012.0,USA,57863.475095164824,
Georgia,US,2020-12-01 05:30:26,33.0406,-83.6431,471563,9452,,462111.0,13.0,4441.407298173956,4314448.0,,2.0043981398031647,84000013.0,USA,40635.547816075516,
Hawaii,US,2020-12-01 05:30:26,21.0943,-157.4983,18223,244,11958.0,6021.0,15.0,1287.0513718754235,669762.0,,1.3389672392032048,84000015.0,USA,47303.852325633954,
